snapped_at,price,market_cap,total_volume
2020-04-18 00:00:00 UTC,0.1293653477164651,0.0,4808.150338954356
2020-04-19 00:00:00 UTC,0.1715693960426194,0.0,6786.187263311351
2020-04-20 00:00:00 UTC,0.18003451463890968,0.0,7536.003536535143
2020-04-21 00:00:00 UTC,0.18612702642696405,0.0,8236.16931242003
2020-04-22 00:00:00 UTC,0.19045451498899346,0.0,8392.14203939141
2020-04-23 00:00:00 UTC,0.1953225663263497,0.0,9636.053253272452
2020-04-24 00:00:00 UTC,0.196030262475822,0.0,10169.52857674746
2020-04-25 00:00:00 UTC,0.1892430665270607,0.0,9839.89384172504
2020-04-26 00:00:00 UTC,0.23578067945809897,0.0,13138.873647188977
2020-04-27 00:00:00 UTC,0.23673581607411515,0.0,54838.40533773256
2020-04-28 00:00:00 UTC,0.20091877609631137,0.0,57106.91669163759
2020-04-29 00:00:00 UTC,0.18657767650065066,0.0,57057.401344841644
2020-04-30 00:00:00 UTC,0.23702183259279253,0.0,70614.17247390113
2020-05-01 00:00:00 UTC,0.23993713759968135,0.0,68005.52447278886
2020-05-02 00:00:00 UTC,0.2378157718410379,0.0,32473.09202967888
2020-05-03 00:00:00 UTC,0.22712725978090745,0.0,52800.946377956505
2020-05-04 00:00:00 UTC,0.2275608205546217,0.0,66577.73324021752
2020-05-05 00:00:00 UTC,0.24330530993182117,0.0,62518.04146817674
2020-05-06 00:00:00 UTC,0.2436494689051279,7541811.662707637,70443.70785584449
2020-05-07 00:00:00 UTC,0.25249712088002535,8167061.218068215,74263.58712810844
2020-05-08 00:00:00 UTC,0.23315734899623766,7574652.5306245135,68576.68948045699
2020-05-09 00:00:00 UTC,0.22129399527091678,7019301.268318117,66044.92954875073
2020-05-10 00:00:00 UTC,0.2763226474181083,8779477.524021601,94512.58317107988
2020-05-11 00:00:00 UTC,0.28114774779188073,8942357.177446377,88079.5071178983
2020-05-12 00:00:00 UTC,0.23152606163431333,7505413.428243199,72812.14723390638
2020-05-13 00:00:00 UTC,0.22772915333118515,7400122.392412667,68408.34603473371
2020-05-14 00:00:00 UTC,0.2115353458955347,7181307.451417574,59297.260281650146
2020-05-15 00:00:00 UTC,0.25086659583207127,8034656.272422041,73139.40090638693
2020-05-16 00:00:00 UTC,0.21887878147629547,7068698.41342357,65616.63022456662
2020-05-17 00:00:00 UTC,0.23036739418768043,7608854.46892405,67874.55519796872
2020-05-18 00:00:00 UTC,0.2793975824317302,8962102.265733501,85798.82895285446
2020-05-19 00:00:00 UTC,0.26880731461000346,8888537.559461081,76427.83599261855
2020-05-20 00:00:00 UTC,0.25007217474527493,8337705.234900124,70001.28846793575
2020-05-21 00:00:00 UTC,0.24297562044948973,8363982.169990804,74384.88203173819
2020-05-22 00:00:00 UTC,0.22496067119039242,7845745.046402404,65891.83994142989
2020-05-23 00:00:00 UTC,0.24138765952823327,8090575.749324951,72349.0593259084
2020-05-24 00:00:00 UTC,0.2554091604624531,8878441.70909216,76840.36951390796
2020-05-25 00:00:00 UTC,0.22614532152167696,7712642.427209673,63406.30638334445
2020-05-26 00:00:00 UTC,0.22623893607657009,7942557.947327463,74987.52883160017
2020-05-27 00:00:00 UTC,0.24846588150474833,8540796.970838754,70837.97315389667
2020-05-28 00:00:00 UTC,0.23382644831584704,8079094.361821253,63822.199529291705
2020-05-29 00:00:00 UTC,0.23005638712626034,8019613.656605975,65902.53929997572
2020-05-30 00:00:00 UTC,0.22864308751886395,7974395.325582004,66349.96043140789
2020-05-31 00:00:00 UTC,0.24139143013299028,8606404.270982163,68963.41700006736
2020-06-01 00:00:00 UTC,0.24579790839735496,8465524.644220918,67411.36681699369
2020-06-02 00:00:00 UTC,0.2618564959588264,9081610.333756493,79002.36668727388
2020-06-03 00:00:00 UTC,0.25476407093111025,9142519.872568822,54862.856717651455
2020-06-04 00:00:00 UTC,0.2520761861974615,8954622.482384542,59480.481711905006
2020-06-05 00:00:00 UTC,0.2583937130883004,9248146.293359103,78645.74667434458
2020-06-06 00:00:00 UTC,0.26277966375397976,9472594.669337647,80268.95463673424
2020-06-07 00:00:00 UTC,0.25863889048454547,9241339.344861666,74486.01669925907
2020-06-08 00:00:00 UTC,0.2548085799762596,9184597.062117543,59498.81246643332
2020-06-09 00:00:00 UTC,0.2794183737618279,9911354.992626838,83944.39626403281
2020-06-10 00:00:00 UTC,0.27211347683187875,9877725.161628604,66264.30107582491
2020-06-11 00:00:00 UTC,0.2753628172534207,10118583.548621345,82438.18356277706
2020-06-12 00:00:00 UTC,0.29194366231234137,10681513.343816979,87877.2202557356
2020-06-13 00:00:00 UTC,0.3225716823994272,11365323.2845971,91657.76938731638
2020-06-14 00:00:00 UTC,0.3263533669808614,12022262.210174164,88640.97181055223
2020-06-15 00:00:00 UTC,0.32862670696493723,12167085.439970728,101000.83866602377
2020-06-16 00:00:00 UTC,0.37971660653266204,14048802.694626957,120025.97015286233
2020-06-17 00:00:00 UTC,0.3208824911671297,12045956.167283034,97010.79914210248
2020-06-18 00:00:00 UTC,0.2966226050756316,11090066.678506352,85579.4183336647
2020-06-19 00:00:00 UTC,0.41960502227706864,15704110.095404265,123859.89584234213
2020-06-20 00:00:00 UTC,0.40701883950707196,15307192.909358697,138476.50719290614
2020-06-21 00:00:00 UTC,0.35649085221559584,13204265.981925918,109321.81627692719
2020-06-22 00:00:00 UTC,0.4490798528059653,17046246.845444396,132017.65694322795
2020-06-23 00:00:00 UTC,0.45953847947440557,17559526.55716408,114105.74809974022
2020-06-24 00:00:00 UTC,0.42850400138172406,16344857.255948713,119316.15073737853
2020-06-25 00:00:00 UTC,0.4796586694595619,18472376.091171116,93757.18692415737
2020-06-26 00:00:00 UTC,0.5431892223708817,20974960.75863901,169634.14836673197
2020-06-27 00:00:00 UTC,0.498471351706584,19355669.215731148,138957.64244514628
2020-06-28 00:00:00 UTC,0.4608652205492016,17929104.970692012,120187.57070697274
2020-06-29 00:00:00 UTC,0.4707449055570832,18456925.70942799,138007.2153712345
2020-06-30 00:00:00 UTC,0.558697776838636,21858011.237531755,173392.39139173646
2020-07-01 00:00:00 UTC,0.4861714425381129,19064851.9556757,146270.11874603326
2020-07-02 00:00:00 UTC,0.4416561894346347,17410671.116224904,163937.0580704832
2020-07-03 00:00:00 UTC,0.504942520826694,19988042.339028582,159656.29112918113
2020-07-04 00:00:00 UTC,0.5263611678137579,20977380.687606942,119371.42802159773
2020-07-05 00:00:00 UTC,0.46544149426361964,18572910.259704802,142997.6042458567
2020-07-06 00:00:00 UTC,0.49812531695671924,19954511.64539901,161766.63005072033
2020-07-07 00:00:00 UTC,0.46964522047238316,18887974.206329953,134680.840860435
2020-07-08 00:00:00 UTC,0.4700724173872801,18975208.432807397,136342.14489964533
2020-07-09 00:00:00 UTC,0.49236347983204315,19954372.638288196,173945.28189225675
2020-07-10 00:00:00 UTC,0.504876835307676,20539922.261218827,168434.5106550121
2020-07-11 00:00:00 UTC,0.46323377865572596,18927078.846560467,138960.28524658357
2020-07-12 00:00:00 UTC,0.4495280225259502,18479322.312695246,148572.89087166096
2020-07-13 00:00:00 UTC,0.42964537034156164,17685110.474638216,132841.33025168526
2020-07-14 00:00:00 UTC,0.4358644138769463,18012159.146876395,121895.54185604092
2020-07-15 00:00:00 UTC,0.44444930835702146,18440885.278434172,122706.92508797765
2020-07-16 00:00:00 UTC,0.391929649570981,16419716.08198631,114101.50297477226
2020-07-17 00:00:00 UTC,0.440494930596481,18416473.145583425,118836.82369015268
2020-07-18 00:00:00 UTC,0.41133628513065684,17255351.387507543,133526.57810901868
2020-07-19 00:00:00 UTC,0.3650957436941158,15310967.560253175,102641.75415089053
2020-07-20 00:00:00 UTC,0.3907845062888651,16516782.446696395,87794.65931472772
2020-07-21 00:00:00 UTC,0.38715609177022925,16421436.840068942,180250.65256564098
2020-07-22 00:00:00 UTC,0.3636159377961878,15477627.779033422,182982.8202087257
2020-07-23 00:00:00 UTC,0.38970177581954174,16651299.652057627,115565.52029686805
2020-07-24 00:00:00 UTC,0.3718821974358983,15952088.189686706,119356.32458107223
2020-07-25 00:00:00 UTC,0.389685765091898,16769424.193330437,173285.73709341907
2020-07-26 00:00:00 UTC,0.38145645055818833,16483578.524205294,178446.87706996425
2020-07-27 00:00:00 UTC,0.43199021318465763,18673532.305846475,224036.24984997808
2020-07-28 00:00:00 UTC,0.43623000425619257,18982562.053318378,202177.39859940708
2020-07-29 00:00:00 UTC,0.419115255414073,18302470.459957246,158622.01232480587
2020-07-30 00:00:00 UTC,0.41569876317302085,18218876.26517891,155019.7535297745
2020-07-31 00:00:00 UTC,0.42111257653107276,18513977.470442176,169187.19557495884
2020-08-01 00:00:00 UTC,0.49951958497153015,22645794.710476622,228714.39394008915
2020-08-02 00:00:00 UTC,0.4442154115921739,19779438.342993442,183612.7349634957
2020-08-03 00:00:00 UTC,0.4770778208130275,21215828.377846573,213690.4069424316
2020-08-04 00:00:00 UTC,0.4958990761589334,22098056.246726852,204154.12607999126
2020-08-05 00:00:00 UTC,0.5315535420828313,23764705.318726134,201126.49061351517
2020-08-06 00:00:00 UTC,0.5445519841724679,24232289.046640106,262604.3898143287
2020-08-07 00:00:00 UTC,0.6012637774201133,27067032.90570508,302784.10892440664
2020-08-08 00:00:00 UTC,0.6150675589634214,27553580.3149395,265280.7489636678
2020-08-09 00:00:00 UTC,0.6214503217640014,28011378.785424028,234560.16380075843
2020-08-10 00:00:00 UTC,0.6163760568058408,27835398.902488448,243210.11097885348
2020-08-11 00:00:00 UTC,0.6525721426374221,29464192.65314272,269087.23256197164
2020-08-12 00:00:00 UTC,0.6718414592209071,30408951.546808995,249043.2773301504
2020-08-13 00:00:00 UTC,0.8508418041377466,38491033.876490444,315360.3536487701
2020-08-14 00:00:00 UTC,1.195981975870735,53890097.10229815,523874.96665433334
2020-08-15 00:00:00 UTC,1.7094148093988328,77096018.80643986,840701.9294078911
2020-08-16 00:00:00 UTC,1.7731024037364718,80037688.16268303,644156.4461648792
2020-08-17 00:00:00 UTC,1.6542339461057782,74641094.63886866,580042.3876684655
2020-08-18 00:00:00 UTC,1.913803532149129,85834272.28184679,964395.8139094327
2020-08-19 00:00:00 UTC,1.6591822840953085,74961777.1640822,1080311.7017593146
2020-08-20 00:00:00 UTC,1.6227098817882426,73103229.66800308,749522.8175624551
2020-08-21 00:00:00 UTC,1.5121291647612014,68765297.39486408,746100.8848181101
2020-08-22 00:00:00 UTC,1.525847272563794,68934721.12532575,486631.76546139526
2020-08-23 00:00:00 UTC,1.4978291553374277,67632556.44788507,545102.3449556739
2020-08-24 00:00:00 UTC,1.52368855318474,68854186.39312223,588828.3562102834
2020-08-25 00:00:00 UTC,1.5087844806124504,68209108.46616286,668634.7937146486
2020-08-26 00:00:00 UTC,1.4882870974290539,67273187.95131607,609185.475583324
2020-08-27 00:00:00 UTC,1.9067033640340967,86097951.48486467,1414741.5543629734
2020-08-28 00:00:00 UTC,1.7219791975477892,77740619.63744627,857995.3619548713
2020-08-29 00:00:00 UTC,1.656250154813628,74925250.21306923,659024.2317264137
2020-08-30 00:00:00 UTC,1.6441115375507322,74228180.35615118,106439.75223684001
2020-08-31 00:00:00 UTC,1.63721115300951,73992687.72529292,486158.34121199534
2020-09-01 00:00:00 UTC,1.7352803968226227,76889644.72557479,650222.6721730775
2020-09-02 00:00:00 UTC,1.6480488731448437,74798747.8996962,497482.5345061983
2020-09-03 00:00:00 UTC,1.665485003949375,75198870.73757762,556594.7367244416
2020-09-04 00:00:00 UTC,1.6657153071553181,75833098.70899895,1698508.83000603
2020-09-05 00:00:00 UTC,1.525976856991492,68938048.99974908,871240.742905837
2020-09-06 00:00:00 UTC,1.3956832610247296,62866640.636955254,565267.8138259638
2020-09-07 00:00:00 UTC,1.216476625322134,54861309.65793712,423662.79603141925
2020-09-08 00:00:00 UTC,1.257737331769467,59600245.99903155,426742.303439944
2020-09-09 00:00:00 UTC,1.3439880435159897,60694186.4440833,474366.26577684906
2020-09-10 00:00:00 UTC,1.2640468935776656,57302667.4674087,429122.6366713461
2020-09-11 00:00:00 UTC,1.3046660276041746,58834396.82761567,578738.3231155934
2020-09-12 00:00:00 UTC,1.2353071112402347,55828247.11543063,426220.26713978057
2020-09-13 00:00:00 UTC,1.2890192550317707,57648266.03328917,501609.1179019526
2020-09-14 00:00:00 UTC,1.2820676745011192,57830262.03530111,568325.8447081613
2020-09-15 00:00:00 UTC,1.3266610578605489,59872044.21944048,566957.4974765311
2020-09-16 00:00:00 UTC,1.32145483812838,59561897.49309832,525196.240700437
2020-09-17 00:00:00 UTC,1.610135715871323,72566744.12931098,1858195.0432411635
2020-09-18 00:00:00 UTC,1.7100589583119608,77230888.32052143,759565.3067142613
2020-09-19 00:00:00 UTC,1.7013663347299892,76817670.55297588,804761.6789953235
2020-09-20 00:00:00 UTC,1.7141933892921697,77382837.47829829,823834.7858109565
2020-09-21 00:00:00 UTC,1.7206266709597255,77699801.97266234,733066.7482986967
2020-09-22 00:00:00 UTC,1.7295736015413643,78261815.30825031,869244.7498605226
2020-09-23 00:00:00 UTC,1.6728243959315632,75590995.96195479,628922.784632588
2020-09-24 00:00:00 UTC,1.8018099807593875,82271072.13617335,925248.2792175013
2020-09-25 00:00:00 UTC,2.277297281035082,101137071.78451943,57656578.08303491
2020-09-26 00:00:00 UTC,1.8797683559193057,85024827.50855827,10073709.367257873
2020-09-27 00:00:00 UTC,1.7818873982430743,80782846.9678596,6350361.867698118
2020-09-28 00:00:00 UTC,1.5331580254578372,69163680.86930011,3831869.167279028
2020-09-29 00:00:00 UTC,1.6476344110525445,74526138.69271572,11717311.444131134
2020-09-30 00:00:00 UTC,1.6435637975588069,74760227.17373,4548328.020760459
2020-10-01 00:00:00 UTC,1.57055831340055,70895212.83356328,3237437.4765727874
2020-10-02 00:00:00 UTC,1.535947914147612,69647688.01816988,4297483.050712744
2020-10-03 00:00:00 UTC,1.5249521168265767,68686000.16992511,3716687.705744805
2020-10-04 00:00:00 UTC,1.4591666879892653,66019792.55355693,2945286.065387182
2020-10-05 00:00:00 UTC,1.3696303141734143,61928996.770406,3117497.1669613062
2020-10-06 00:00:00 UTC,1.2401887078227227,56777437.67082048,2951585.7569094314
2020-10-07 00:00:00 UTC,0.9781608588116959,44377170.57414017,2054965.0569623045
2020-10-08 00:00:00 UTC,1.2055670797350913,54381561.52465826,4165467.457343716
2020-10-09 00:00:00 UTC,1.2913862312925442,58013986.97127994,3817276.814123588
2020-10-10 00:00:00 UTC,1.2758739244922077,57825243.90393783,3163378.1416277853
2020-10-11 00:00:00 UTC,1.454668138594685,65607705.07430672,4266055.345117492
2020-10-12 00:00:00 UTC,1.3722554655267385,61636466.07223647,3210752.306295927
2020-10-13 00:00:00 UTC,1.386560432160544,61629961.47480154,3556865.6933510657
2020-10-14 00:00:00 UTC,1.3420303541112644,59825221.37707711,2919277.3725216337
2020-10-15 00:00:00 UTC,1.3550921719572997,61208834.92356028,2822847.850608855
2020-10-16 00:00:00 UTC,1.3275878643162695,59959275.00685761,3152156.134291998
2020-10-17 00:00:00 UTC,1.166430091602691,53355973.09605637,2950174.883490951
2020-10-18 00:00:00 UTC,1.1784382292052638,52781507.50938116,2428328.7960350225
2020-10-19 00:00:00 UTC,1.25075771337124,55885284.12259447,2737541.0502700806
2020-10-20 00:00:00 UTC,1.150911218312466,52753726.95556556,3181491.215802102
2020-10-21 00:00:00 UTC,1.0861307454643432,49045435.6294863,2542266.2889424427
2020-10-22 00:00:00 UTC,1.1078946183461529,49605308.867927544,2532412.369527408
2020-10-23 00:00:00 UTC,1.130136970317889,51101557.613715515,2233180.9653547686
2020-10-24 00:00:00 UTC,1.0417557657981806,47275990.60912242,2174202.7654854306
2020-10-25 00:00:00 UTC,1.0328876184427205,46655473.40300792,2122646.1037216955
2020-10-26 00:00:00 UTC,1.0360668918399971,46724991.57580225,2440566.5394229777
2020-10-27 00:00:00 UTC,1.0537749753675116,47423813.36666664,3254025.459630309
2020-10-28 00:00:00 UTC,1.0720587319389203,48320774.429579295,2905933.192857718
2020-10-29 00:00:00 UTC,0.9954085036589633,44447894.91181189,1626457.945238198
2020-10-30 00:00:00 UTC,0.8838311122838592,40022450.05577312,1085039.1825424347
2020-10-31 00:00:00 UTC,0.8344803462247,37950232.734302685,625318.4873386081
2020-11-01 00:00:00 UTC,0.8358166896714859,37749095.95135969,937416.5671213983
2020-11-02 00:00:00 UTC,0.7968024848893835,35811044.801900804,1140383.7461360644
2020-11-03 00:00:00 UTC,0.7781690990389256,35243520.39953631,1941810.87978691
2020-11-04 00:00:00 UTC,0.7278729607187047,32915567.016165335,1151905.9608950983
2020-11-05 00:00:00 UTC,0.7677917026127928,34925108.32019653,1432241.3300529702
2020-11-06 00:00:00 UTC,0.8895402793954095,40416621.463736616,1920800.6630892185
2020-11-07 00:00:00 UTC,1.0527038174225423,48143938.20383653,1332736.2761199677
2020-11-08 00:00:00 UTC,1.0160627389679657,46145764.337717146,1810181.0844049223
2020-11-09 00:00:00 UTC,1.1951059744603643,54072572.27171581,1552535.5572938228
2020-11-10 00:00:00 UTC,1.077835088684512,49112123.626588196,1520678.7981736443
2020-11-11 00:00:00 UTC,1.1439912581997314,51779838.6162655,961751.829840122
